BOS मैं बाल्टीमोर से डलास तक की राउंड ट्रिप के लिए उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip atis_flight
BOS फोर्ट के अंदर और बाहर डेल्टा पर सभी उड़ानें कितनी हैं EOS\t	O O O O O O B-airline_name O O O O B-fromloc.city_name I-fromloc.city_name atis_flight
BOS ठीक है, मैं इस पर क्या करना चाहूंगा, वह है वाशिंगटन से अटलांटा जाना, मुझे नॉनस्टॉप यात्रा चाहिए और मैं शाम 5 बजे के आसपास निकलना चाहूंगा EOS\t	O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-flight_stop O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS कम से कम 3 स्टॉप के साथ बोस्टन से सैन फ्रांसिस्को के लिए सभी उड़ानों की सूची बनाएं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-flight_stop atis_flight
BOS अटलांटा से बाल्टीमोर के लिए कौन सी उड़ानें हैं? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS सोमवार को दोपहर 2 बजे के बाद डेनवर से सैन फ्रांसिस्को के लिए उड़ानों की सूची बनाएं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O O B-depart_date.day_name atis_flight
BOS क्या डेल्टा विमान DC10 उड़ाता है? EOS\t	O B-airline_name O O B-aircraft_code atis_aircraft
BOS न्यूयॉर्क शहर से लास वेगास के लिए कौन सी उड़ानें हैं? EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS क्या यूनाइटेड की बुधवार को मियामी से वाशिंगटन डीसी के लिए उड़ान है? EOS\t	O B-airline_name O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name atis_flight
BOS मुझे गुरुवार को अटलांटा से ओकलैंड के लिए सभी उड़ानें दिखाएं जो शाम 5 बजे से पहले ओकलैंड पहुंचती हैं और भोजन परोसती हैं EOS\t	O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time O O O B-meal atis_flight
BOS क्या आपके पास दोपहर की उड़ान है जो डलास में रुकते हुए बोस्टन से सैन फ्रांसिस्को जा रही है? EOS\t	O O O O B-depart_time.period_of_day O O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name atis_flight
BOS लॉस एंजिल्स से पिट्सबर्ग के लिए नॉनस्टॉप उड़ानों की सूची बनाएं जो सोमवार को शाम 5 बजे के बाद पहुंचती हैं EOS\t	O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time atis_flight
BOS ईस्टर्न किस प्रकार का विमान शाम 6 बजे से पहले अटलांटा से डेनवर के लिए उड़ान भरता है? EOS\t	O O O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_aircraft
BOS गुरुवार, चौबीस जून को फीनिक्स से डेट्रॉइट के लिए उड़ानों की सूची बनाएं EOS\t	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number atis_flight
BOS क्या अमेरिकी हवाई उड़ानें सैन फ्रांसिस्को से रवाना होती हैं? EOS\t	O O B-airline_name I-airline_name O O O B-fromloc.city_name I-fromloc.city_name atis_flight
BOS मंगलवार दोपहर चार्लोट से न्यूआर्क तक की उड़ानों के लिए कोच किराया क्या है EOS\t	O O O B-class_type O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day atis_airfare
BOS मैं जानना चाहता हूं कि ग्यारह जून शुक्रवार को सेंट से कौन सी उड़ानें हैं।  EOS\t	O O O O O O O O O O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-fromloc.city_name O B-toloc.city_name O O atis_flight
BOS क्या अटलांटा से फिलाडेल्फिया के लिए कोई सीधी उड़ान है जो दोपहर 12 बजे के आसपास फिलाडेल्फिया पहुंचती है EOS\t	O O O B-connect O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time atis_flight
BOS मैं डेनवर से फिलाडेल्फिया तक की सभी उड़ानें देखना चाहूंगा EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS वाशिंगटन से प्रस्थान करने वाली सुबह 755 बजे की उड़ान के सैन फ्रांसिस्को पहुंचने का समय क्या है? EOS\t	O O O B-flight_time I-flight_time O B-fromloc.city_name I-fromloc.city_name O O B-depart_time.time I-depart_time.time O O B-fromloc.city_name atis_flight_time
BOS अटलांटा से सैन फ्रांसिस्को तक उड़ान भरने में कितना खर्च होता है? EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS मुझे लॉन्ग बीच से सेंट तक की उड़ान चाहिए।  EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name atis_flight
BOS ठीक है, यह भी बहुत अच्छा है, अब हम 22 अप्रैल को डलास से वाशिंगटन जाने वाले हैं, नवीनतम रात्रि प्रस्थान एक तरफ EOS\t	O O O O O O O O O O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number B-fromloc.city_name O B-toloc.city_name O B-flight_mod B-depart_time.period_of_day O B-round_trip I-round_trip atis_flight
BOS क्या दोपहर 2 बजे के आसपास चार्लोट से मिनियापोलिस के लिए दोपहर की उड़ान है? EOS\t	O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS मुझे चार्लोट से कोलंबस तक की सभी उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS फिलाडेल्फिया से सैन फ्रांसिस्को के लिए राउंड ट्रिप उड़ानें क्या हैं? EOS\t	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS मैं जानना चाहता हूं कि सात जुलाई की सुबह अटलांटा से बोस्टन तक किस प्रकार के विमान का उपयोग किया जाएगा EOS\t	O O O O O O O O O O O O O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS सिनसिनाटी से साल्ट लेक सिटी तक अमेरिकी उड़ानें EOS\t	B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name atis_flight
BOS कृपया मुझे बुधवार को 1300 बजे के बाद डेनवर से सैन फ्रांसिस्को के लिए उड़ान दिखाएं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS क्लीवलैंड से नैशविले के लिए उड़ान EOS\t	O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS बोस्टन और सैन फ्रांसिस्को के बीच सबसे सस्ता किराया क्या है? EOS\t	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS मुझे मिल्वौकी से ऑरलैंडो तक की सभी दैनिक उड़ानें दिखाओ EOS\t	O O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे बाल्टीमोर से फिलाडेल्फिया तक का किराया दिखाओ EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS बरबैंक से डेनवर तक शाम 6 बजे तक पहुंचने वाली नॉनस्टॉप उड़ानों की सूची बनाएं EOS\t	O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time atis_flight
BOS क्या आप मुझे बता सकते हैं कि सुबह 10 बजे से पहले ओकलैंड से डेनवर के लिए कौन सी सुबह की उड़ानें उपलब्ध हैं EOS\t	O O O O O B-depart_time.period_of_day O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS सिनसिनाटी से सैन जोस के लिए शुक्रवार शाम की उड़ानों की सूची बनाएं EOS\t	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS फिलाडेल्फिया से डेनवर के लिए शनिवार को कौन सी उड़ानें हैं? EOS\t	O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मैं बाल्टीमोर से सैन फ्रांसिस्को तक अमेरिकी एयरलाइंस से उड़ान भरना चाहूंगा EOS\t	O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS कृपया मुझे फिलाडेल्फिया में स्टॉपओवर के साथ डेनवर से बोस्टन तक की उड़ानों वाली एयरलाइंस दिखाएं EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name atis_airline
BOS 416 डॉलर के हवाई किराए पर पिट्सबर्ग से अटलांटा तक की उड़ानों पर हवाई प्रतिबंध क्या हैं EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-fare_amount I-fare_amount atis_restriction
BOS मिनियापोलिस में कौन सा जमीनी परिवहन उपलब्ध है? EOS\t	O O O O O O B-city_name atis_ground_service
BOS मुझे डेनवर से अटलांटा तक के हवाई जहाज का टिकट चाहिए, मुझे कोच श्रेणी या सबसे कम किराये वाला टिकट चाहिए EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-class_type I-class_type O B-cost_relative O O atis_airfare
BOS पिट्सबर्ग से बाल्टीमोर तक आपकी कौन सी उड़ानें हैं? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS अटलांटा में स्टॉपओवर के साथ फिलाडेल्फिया से डलास तक कौन सी उड़ानें जाती हैं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name atis_flight
BOS मुझे बोस्टन से ओकलैंड तक की उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS कृपया सैन फ्रांसिस्को के लिए डेल्टा उड़ानें EOS\t	B-airline_name O O B-toloc.city_name I-toloc.city_name O atis_flight
BOS कृपया मुझे उड़ान का समय बताएं, मैं सुबह 8 बजे से पहले बोस्टन से बाल्टीमोर के लिए उड़ान भरना चाहूंगा EOS\t	O O O O B-flight_time I-flight_time O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day B-depart_time.time_relative B-depart_time.time atis_flight_time
BOS गुरुवार को अटलांटा से वाशिंगटन जाने वाली सबसे पहली उड़ान कौन सी है? EOS\t	O O O B-flight_mod O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS अटलांटा से डेनवर तक का एकतरफ़ा किराया सबसे कम क्या है? EOS\t	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS आपके पास सत्ताईस अगस्त को बोस्टन से सैन फ्रांसिस्को के लिए उड़ान भरने वाला कौन सा विमान है? EOS\t	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number atis_aircraft
BOS कल शाम को नैशविले से ह्यूस्टन के लिए कौन सी उड़ानें हैं जो रात का खाना परोसेंगी EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative B-depart_time.period_of_day O O B-meal_description atis_flight
BOS चार मई को अटलांटा से डेनवर डेल्टा उड़ान 257 EOS\t	O B-depart_date.month_name B-depart_date.day_number B-fromloc.city_name O B-toloc.city_name B-airline_name O B-flight_number atis_flight
BOS गुरुवार सुबह 5 बजे से पहले बोस्टन से अटलांटा जाने वाली सभी उड़ानों की सूची बनाएं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O B-depart_date.day_name atis_flight
BOS फिलाडेल्फिया और सैन फ्रांसिस्को के बीच मुझे सबसे सस्ता किराया क्या मिल सकता है? EOS\t	O O O B-cost_relative O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS फिलाडेल्फिया में हवाई अड्डे से शहर तक जमीनी परिवहन का कार्यक्रम क्या है EOS\t	O O O B-flight_time O O O O O O O B-fromloc.city_name O O atis_ground_service
BOS अटलांटा से सैन फ्रांसिस्को के लिए दोपहर की कौन सी उड़ानें उपलब्ध हैं EOS\t	O B-depart_time.period_of_day O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS ह्यूस्टन इंटरकांटिनेंटल के लिए न्यूनतम कनेक्शन समय क्या है? EOS\t	O O O O O O O B-airport_name I-airport_name atis_flight_time
BOS मुझे फिलाडेल्फिया से सैन फ्रांसिस्को के लिए डलास में रुकने वाली उड़ानें दिखाओ EOS\t	O O O O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name O O B-stoploc.city_name atis_flight
BOS मैं चौबीस फरवरी को क्लीवलैंड से मियामी के लिए यूएस एयर प्रथम श्रेणी की उड़ान बुक करना चाहता हूं EOS\t	O O O O O O O O B-airline_name I-airline_name B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number atis_flight
BOS मुझे अटलांटा में एक दिन का अधिकांश समय ज़मीन पर बिताने की ज़रूरत है, मेरे लिए बोस्टन से एक प्रारंभिक उड़ान और अटलांटा से वापसी के लिए यथासंभव अंतिम उड़ान ढूँढ़िए। EOS\t	O O O O O O O O O O O O B-toloc.city_name O O O B-flight_mod O O B-fromloc.city_name O O B-flight_mod O O O O B-fromloc.city_name atis_flight
BOS मुझे पिट्सबर्ग से डलास के लिए दोपहर से 2 बजे के बीच पिट्सबर्ग छोड़ने वाली सबसे सस्ती एकतरफ़ा उड़ान दिखाएँ EOS\t	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time atis_flight
BOS शनिवार को फीनिक्स से लास वेगास तक EOS\t	O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_flight
BOS मुझे दस लोगों को डेनवर से फ़ीनिक्स ले जाना है, कृपया मुझे सप्ताह के दौरान उड़ानें दें EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-flight_mod I-flight_mod I-flight_mod atis_flight
BOS कृपया क्या मुझे न्यूआर्क से ऑरलैंडो के लिए उड़ानें मिल सकती हैं? EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name O atis_flight
BOS मुझे लॉन्ग बीच से सेंट तक की उड़ान चाहिए।  EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name O O O O O B-meal_description atis_flight
BOS डलास से बाल्टीमोर तक अमेरिकी उड़ान भरने में कितना खर्च होता है? EOS\t	O O O O O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS अमेरिकी एयरलाइंस पर फिलाडेल्फिया से डलास के लिए सुबह की कौन सी उड़ानें चल रही हैं? EOS\t	O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O O B-airline_name I-airline_name atis_flight
BOS मुझे डेनवर से पिट्सबर्ग तक के किराये की जानकारी चाहिए EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS मुझे पंद्रह सितंबर के लिए सैन फ्रांसिस्को और फिलाडेल्फिया के बीच सभी उड़ानें दिखाएं EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS फोर्ट वर्थ टेक्सास में जमीनी परिवहन क्या उपलब्ध है? EOS\t	O O O O O O O B-city_name I-city_name B-state_name atis_ground_service
BOS बुधवार शाम 6 बजे के बाद वाशिंगटन डीसी और सैन फ्रांसिस्को के बीच कौन सी उड़ानें हैं EOS\t	O O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.day_name atis_flight
BOS क्या बोस्टन से सैन फ्रांसिस्को के लिए डलास में रुकने वाली कोई उड़ान है EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name atis_flight
BOS टोरंटो अंतरराष्ट्रीय हवाई अड्डे से टोरंटो की दूरी कितनी है? EOS\t	O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name atis_distance
BOS हां, मैं जानना चाहूंगा कि सात जुलाई की सुबह अटलांटा से बोस्टन के लिए कौन सी उड़ानें उपलब्ध हैं EOS\t	O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS मैं टोरंटो से सैन डिएगो के लिए एक अमेरिकी उड़ान चाहता हूं जिसका स्टॉपओवर डेनवर में हो EOS\t	O O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name O atis_flight
BOS विभिन्न शहरों से जनरल मिशेल इंटरनेशनल पर आने वाली सभी उड़ानों की सूची बनाएं EOS\t	O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name O O O atis_flight
BOS जनरल मिशेल इंटरनेशनल में सभी टेकऑफ़ और लैंडिंग की सूची बनाएं EOS\t	O O O O O O O B-airport_name I-airport_name I-airport_name atis_flight
BOS आज डेल्टा के पास कितनी प्रथम श्रेणी उड़ानें हैं? EOS\t	O O B-class_type I-class_type O O B-airline_name O B-depart_date.today_relative atis_quantity
BOS मुझे डेनवर से आने वाली सभी उड़ानें और मियामी से आने वाली सभी उड़ानें दिखाएँ जो दोपहर के आसपास बाल्टीमोर पहुँचती हैं EOS\t	O O O O O O B-fromloc.city_name O O O O O B-fromloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time atis_flight
BOS क्या यूनाइटेड एयरलाइंस डेनवर से बाल्टीमोर के लिए कोई प्रथम श्रेणी उड़ान प्रदान करती है EOS\t	O B-airline_name I-airline_name O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मैं एक ऐसी उड़ान ढूंढना चाहूंगा जो बोस्टन से ऑरलैंडो तक जाए, मैं चाहूंगा कि इसका स्टॉप न्यूयॉर्क में हो और मुझे ऐसी उड़ान चाहिए जो नाश्ता परोसे। EOS\t	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O O O O B-stoploc.city_name I-stoploc.city_name O O O O O O O O B-meal_description atis_flight
BOS क्या ईस्टर्न एयरलाइंस में बोस्टन से डेनवर के लिए कोई उड़ान है? EOS\t	O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे सुबह सबसे पहले नैशविले से टैकोमा के लिए उड़ान भरनी है कि वहां क्या है EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-flight_mod O O O B-depart_time.period_of_day O O O atis_flight
BOS उड़ान बोस्टन से शुरू होगी EOS\t	O O O O O B-fromloc.city_name atis_flight
BOS किराया कोड qx का वर्णन करें EOS\t	O O O B-fare_basis_code atis_abbreviation
BOS मिनियापोलिस होते हुए सिएटल से बोस्टन तक कौन सी उड़ानें जाती हैं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name atis_flight
BOS पिट्सबर्ग में जमीनी परिवहन कैसा है? EOS\t	O O O O O O B-city_name atis_ground_service
BOS क्या आप कृपया मुझे अमेरिकी एयरलाइंस के बारे में जानकारी दे सकते हैं, वाशिंगटन डीसी से फिलाडेल्फिया के लिए यथासंभव सुबह की उड़ान EOS\t	O O O O O O O B-airline_name I-airline_name O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name O B-flight_mod O O O B-depart_time.period_of_day O O atis_flight
BOS मैं फिलाडेल्फिया से डलास तक उड़ान भरना चाहता हूं और अटलांटा में रुकना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-stoploc.city_name atis_flight
BOS कृपया मुझे डेनवर से ओकलैंड तक आने-जाने के टिकट दिखाएँ EOS\t	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS अटलांटा से बाल्टीमोर के लिए दोपहर की उड़ानें क्या हैं? EOS\t	O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे पिट्सबर्ग से बोस्टन तक की सबसे कम खर्चीली हवाई यात्रा के बारे में जानकारी चाहिए EOS\t	O O O O O B-cost_relative I-cost_relative O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS फिलाडेल्फिया से सैन फ्रांसिस्को तक उड़ान भरने का सबसे कम खर्चीला तरीका क्या है? EOS\t	O O O B-cost_relative I-cost_relative O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS ईडब्ल्यूआर क्या है? EOS\t	O O B-airport_code atis_abbreviation
BOS मुझे वाशिंगटन डी.सी. में जमीनी परिवहन दिखाओ EOS\t	O O O O O B-city_name B-state_code atis_ground_service
BOS मुझे एयरलाइन संक्षिप्ताक्षर दिखाओ EOS\t	O O O O atis_airline
BOS बाल्टीमोर से सैन फ्रांसिस्को तक सभी उड़ानें EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS महाद्वीपीय से कौन सी उड़ानें सिएटल पहुंचती हैं EOS\t	O O O O B-toloc.city_name O O B-airline_name atis_flight
BOS शनिवार को फिलाडेल्फिया के लिए उड़ान भोजन ओकलैंड में EOS\t	O O B-meal B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name atis_flight
BOS पिट्सबर्ग से डेनवर तक की सभी मंगलवार सुबह की उड़ानें दिखाएँ EOS\t	O O B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS कृपया मुझे लॉन्ग बीच कैलिफ़ोर्निया से मेम्फिस टेनेसी तक की सभी उड़ानें प्रदान करें EOS\t	O O O O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name atis_flight
BOS फ़ीनिक्स से नेवार्क बुधवार EOS\t	B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name atis_flight
BOS क्या आप मुझे बता सकते हैं कि अटलांटा और डेनवर के बीच जाने वाली सबसे पहली उड़ान कौन सी है जो भोजन परोसती है EOS\t	O O O O O O B-flight_mod O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-meal atis_flight
BOS बोस्टन से सैन फ्रांसिस्को राउंड ट्रिप के प्रथम श्रेणी टिकट की कीमत कितनी है? EOS\t	O O O O B-class_type I-class_type O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-round_trip I-round_trip atis_airfare
BOS इस जानकारी के लिए धन्यवाद, अब मैं सोलह अप्रैल की रात लगभग नौ बजे फिलाडेल्फिया से बोस्टन के लिए एक उड़ान बुक करना चाहूंगा। EOS\t	O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS मुझे शाम को बाल्टीमोर पहुंचने वाली सभी उड़ानें दिखाओ EOS\t	O O O O O O O O B-toloc.city_name O O B-arrive_time.period_of_day atis_flight
BOS बोस्टन से सैन फ्रांसिस्को के लिए दोपहर की उड़ानें कृपया दोपहर में प्रस्थान करें EOS\t	B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-depart_time.period_of_day atis_flight
BOS मुझे सिनसिनाटी से टोरंटो आने वाली पहली उड़ान दिखाओ EOS\t	O O O B-flight_mod O O O O B-toloc.city_name O B-fromloc.city_name atis_flight
BOS सा क्या है? EOS\t	O O B-days_code atis_abbreviation
BOS बोस्टन से पिट्सबर्ग तक उड़ानें EOS\t	O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे लव फील्ड से अन्य सभी हवाई अड्डों के लिए उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O atis_flight
BOS सेंट के लिए जमीनी परिवहन।  EOS\t	O O O B-city_name I-city_name atis_ground_service
BOS मुझे मंगलवार को डेनवर से सैन फ्रांसिस्को के लिए उड़ान भरनी है EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name atis_flight
BOS बोस्टन से फिलाडेल्फिया के लिए उड़ानें और किराए क्या हैं EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight;atis_airfare
BOS मैं बुधवार को डेनवर से सैन फ्रांसिस्को की उड़ान के बारे में जानकारी का अनुरोध कर रहा हूं EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_flight
BOS अमेरिकी हवाई सेवा में क्लीवलैंड से मियामी तक कौन सी उड़ानें हैं जो शाम 4 बजे से पहले मियामी पहुंचती हैं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time atis_flight
BOS डलास में जमीनी परिवहन का वर्णन करें EOS\t	O O O O B-city_name atis_ground_service
BOS मैं चाहता हूं कि डलास से ह्यूस्टन के लिए पहली उड़ान पहली मार्च को हो और ह्यूस्टन से डलास के लिए आखिरी उड़ान भी पहली मार्च को हो। EOS\t	O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O O B-flight_mod O O B-fromloc.city_name O O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS क्या आप जमीनी परिवहन जानकारी में मेरी मदद कर सकते हैं, मुझे फिलाडेल्फिया में हवाई अड्डे से डाउनटाउन फिलाडेल्फिया जाना है EOS\t	O O O O O O O O O O O O O O O O B-fromloc.city_name O O B-toloc.city_name atis_ground_service
BOS मैं पिट्सबर्ग में रुकने के साथ डेनवर से अटलांटा तक के टिकट के बारे में कुछ जानकारी चाहता हूँ EOS\t	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name atis_airfare
BOS मैं बाल्टीमोर से फिलाडेल्फिया तक की उड़ानें देखना चाहता हूँ EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे सोमवार को डलास से पिट्सबर्ग के लिए सभी उड़ानें दिखाओ जो रात 8 बजे के बाद रवाना होती हैं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time atis_flight
